A000000001,CATTLE,F000000001,01/01/1995,ON
A000000002,CATTLE,F000000001,01/01/1995,ON
A000000003,CATTLE,F000000001,01/01/1995,ON
A000000004,CATTLE,F000000001,01/01/1995,ON
A000000005,CATTLE,F000000001,01/01/1995,ON
A000000006,CATTLE,F000000001,01/01/1995,ON
A000000007,CATTLE,F000000001,01/01/1995,ON
A000000008,CATTLE,F000000001,01/01/1995,ON
A000000009,CATTLE,F000000001,01/01/1995,ON
A000000010,CATTLE,F000000001,01/01/1995,ON
A000000011,CATTLE,F000000001,01/01/1995,ON
A000000012,CATTLE,F000000001,01/01/1995,ON
A000000013,CATTLE,F000000001,01/01/1995,ON
A000000014,CATTLE,F000000001,01/01/1995,ON
A000000015,CATTLE,F000000001,01/01/1995,ON
A000000016,CATTLE,F000000001,01/01/1995,ON
A000000017,CATTLE,F000000001,01/01/1995,ON
A000000018,CATTLE,F000000001,01/01/1995,ON
A000000019,CATTLE,F000000001,01/01/1995,ON
A000000020,CATTLE,F000000001,01/01/1995,ON
A000000021,CATTLE,F000000001,01/01/1995,ON
A000000022,CATTLE,F000000001,01/01/1995,ON
A000000023,CATTLE,F000000001,01/01/1995,ON
A000000024,CATTLE,F000000001,01/01/1995,ON
A000000025,CATTLE,F000000001,01/01/1995,ON
A000000026,CATTLE,F000000001,01/01/1995,ON
A000000027,CATTLE,F000000001,01/01/1995,ON
A000000028,CATTLE,F000000001,01/01/1995,ON
A000000029,CATTLE,F000000001,01/01/1995,ON
A000000030,CATTLE,F000000001,01/01/1995,ON
A000000031,CATTLE,F000000001,01/01/1995,ON
A000000032,CATTLE,F000000001,01/01/1995,ON
A000000033,CATTLE,F000000001,01/01/1995,ON
A000000034,CATTLE,F000000001,01/01/1995,ON
A000000035,CATTLE,F000000001,01/01/1995,ON
A000000036,CATTLE,F000000001,01/01/1995,ON
A000000037,CATTLE,F000000001,01/01/1995,ON
A000000038,CATTLE,F000000001,01/01/1995,ON
A000000039,CATTLE,F000000001,01/01/1995,ON
A000000040,CATTLE,F000000001,01/01/1995,ON
A000000041,CATTLE,F000000001,01/01/1995,ON
A000000042,CATTLE,F000000001,01/01/1995,ON
A000000043,CATTLE,F000000001,01/01/1995,ON
A000000044,CATTLE,F000000001,01/01/1995,ON
A000000045,CATTLE,F000000001,01/01/1995,ON
A000000046,CATTLE,F000000001,01/01/1995,ON
A000000047,CATTLE,F000000001,01/01/1995,ON
A000000048,CATTLE,F000000001,01/01/1995,ON
A000000049,CATTLE,F000000001,01/01/1995,ON
A000000050,CATTLE,F000000001,01/01/1995,ON
A000000051,CATTLE,F000000001,01/01/1995,ON
A000000052,CATTLE,F000000001,01/01/1995,ON
A000000053,CATTLE,F000000001,01/01/1995,ON
A000000054,CATTLE,F000000001,01/01/1995,ON
A000000055,CATTLE,F000000001,01/01/1995,ON
A000000056,CATTLE,F000000001,01/01/1995,ON
A000000057,CATTLE,F000000001,01/01/1995,ON
A000000058,CATTLE,F000000001,01/01/1995,ON
A000000059,CATTLE,F000000001,01/01/1995,ON
A000000060,CATTLE,F000000001,01/01/1995,ON
A000000061,CATTLE,F000000001,01/01/1995,ON
A000000062,CATTLE,F000000001,01/01/1995,ON
A000000063,CATTLE,F000000001,01/01/1995,ON
A000000064,CATTLE,F000000001,01/01/1995,ON
A000000065,CATTLE,F000000001,01/01/1995,ON
A000000066,CATTLE,F000000001,01/01/1995,ON
A000000067,CATTLE,F000000001,01/01/1995,ON
A000000068,CATTLE,F000000001,01/01/1995,ON
A000000069,CATTLE,F000000001,01/01/1995,ON
A000000070,CATTLE,F000000001,01/01/1995,ON
A000000071,CATTLE,F000000001,01/01/1995,ON
A000000072,CATTLE,F000000001,01/01/1995,ON
A000000073,CATTLE,F000000001,01/01/1995,ON
A000000074,CATTLE,F000000001,01/01/1995,ON
A000000075,CATTLE,F000000001,01/01/1995,ON
A000000076,CATTLE,F000000001,01/01/1995,ON
A000000077,CATTLE,F000000001,01/01/1995,ON
A000000078,CATTLE,F000000001,01/01/1995,ON
A000000079,CATTLE,F000000001,01/01/1995,ON
A000000080,CATTLE,F000000001,01/01/1995,ON
A000000081,CATTLE,F000000001,01/01/1995,ON
A000000082,CATTLE,F000000001,01/01/1995,ON
A000000083,CATTLE,F000000001,01/01/1995,ON
A000000084,CATTLE,F000000001,01/01/1995,ON
A000000085,CATTLE,F000000001,01/01/1995,ON
A000000086,CATTLE,F000000001,01/01/1995,ON
A000000087,CATTLE,F000000001,01/01/1995,ON
A000000088,CATTLE,F000000001,01/01/1995,ON
A000000089,CATTLE,F000000001,01/01/1995,ON
A000000090,CATTLE,F000000001,01/01/1995,ON
A000000091,CATTLE,F000000001,01/01/1995,ON
A000000092,CATTLE,F000000001,01/01/1995,ON
A000000093,CATTLE,F000000001,01/01/1995,ON
A000000094,CATTLE,F000000001,01/01/1995,ON
A000000095,CATTLE,F000000001,01/01/1995,ON
A000000096,CATTLE,F000000001,01/01/1995,ON
A000000097,CATTLE,F000000001,01/01/1995,ON
A000000098,CATTLE,F000000001,01/01/1995,ON
A000000099,CATTLE,F000000001,01/01/1995,ON
A000000100,CATTLE,F000000001,01/01/1995,ON
A000000101,CATTLE,F000000002,01/01/1995,ON
A000000102,CATTLE,F000000002,01/01/1995,ON
A000000103,CATTLE,F000000002,01/01/1995,ON
A000000104,CATTLE,F000000002,01/01/1995,ON
A000000105,CATTLE,F000000002,01/01/1995,ON
A000000106,CATTLE,F000000002,01/01/1995,ON
A000000107,CATTLE,F000000002,01/01/1995,ON
A000000108,CATTLE,F000000002,01/01/1995,ON
A000000109,CATTLE,F000000002,01/01/1995,ON
A000000110,CATTLE,F000000002,01/01/1995,ON
A000000111,CATTLE,F000000002,01/01/1995,ON
A000000112,CATTLE,F000000002,01/01/1995,ON
A000000113,CATTLE,F000000002,01/01/1995,ON
A000000114,CATTLE,F000000002,01/01/1995,ON
A000000115,CATTLE,F000000002,01/01/1995,ON
A000000116,CATTLE,F000000002,01/01/1995,ON
A000000117,CATTLE,F000000002,01/01/1995,ON
A000000118,CATTLE,F000000002,01/01/1995,ON
A000000119,CATTLE,F000000002,01/01/1995,ON
A000000120,CATTLE,F000000002,01/01/1995,ON
A000000121,CATTLE,F000000002,01/01/1995,ON
A000000122,CATTLE,F000000002,01/01/1995,ON
A000000123,CATTLE,F000000002,01/01/1995,ON
A000000124,CATTLE,F000000002,01/01/1995,ON
A000000125,CATTLE,F000000002,01/01/1995,ON
A000000126,CATTLE,F000000002,01/01/1995,ON
A000000127,CATTLE,F000000002,01/01/1995,ON
A000000128,CATTLE,F000000002,01/01/1995,ON
A000000129,CATTLE,F000000002,01/01/1995,ON
A000000130,CATTLE,F000000002,01/01/1995,ON
A000000131,CATTLE,F000000002,01/01/1995,ON
A000000132,CATTLE,F000000002,01/01/1995,ON
A000000133,CATTLE,F000000002,01/01/1995,ON
